Reference, Value, Footprint, manf#, mouser#
U4,LM3489,w_smd_dil:msoic-8,LM3489MM/NOPB,926-LM3489MM/NOPB
R4,24k,w_smd_resistors:r_0402,ERJ-2GEJ243X,667-ERJ-2GEJ243X
C7,0.1uf/50V,w_smd_resistors:r_0402,GRM155R71H104KE14J,81-GRM155R71H104KE4J
C5,4.7uf/50V,w_smd_cap:c_elec_4x5.7,EMVA500ADA4R7MD55G,661-EMVA500ADA4R7MD5
C8,1nf/50V,w_smd_resistors:r_0402,GRM1555C1H102JA01D,81-GRM1555C1H102JA1D
R5,240,w_smd_resistors:r_0603,ESR03EZPJ241,755-ESR03EZPJ241
D1,0.6V,w_smd_diode:do214aa,MBRS140,512-MBRS140
L3,22uH/2.2A/100mO,w_smd_inductors:inductor_smd_8x5mm,SRN8040-220M,652-SRN8040-220M
R9,30k,w_smd_resistors:r_0402,ERJ-2RKF3002X,667-ERJ-2RKF3002X
R10,10k,w_smd_resistors:r_0402,ERJ-2GEJ103X,667-ERJ-2GEJ103X
U5,FDC5614P,w_smd_trans:sot23-6,FDC5614P,512-FDC5614P 
F1,2A,w_smd_resistors:r_1206,MF-NSMF200-2,652-MF-NSMF200-2
C10,0.1uf/50V,w_smd_resistors:r_0402,GRM155R71H104KE14J,81-GRM155R71H104KE4J
U3,PAM2306A,w_smd_qfn:dfn12,PAM2306AYPKE,621-PAM2306AYPKE
L2,4.7uH/2A/107mR,Inductors:Inductor_Taiyo-Yuden_MD-4040,MDWK4040T4R7MM,963-MDWK4040T4R7MM
C11,DNP,w_smd_cap:c_0402,-,-
R7,0R,w_smd_resistors:r_0402,CRCW04020000Z0ED,71-CRCW0402-0-E3
C12,DNP,w_smd_cap:c_0402,-,-
R8,DNP,w_smd_resistors:r_0402,-,-
R11,DNP,w_smd_resistors:r_0402,-,-
R3,100k,w_smd_resistors:r_0402,ERJ-2GEJ104X,667-ERJ-2GEJ104X
C4,100nf/50V,w_smd_cap:c_0402,GRM155R71H104KE14J,81-GRM155R71H104KE4J
C6,10uf/10V,w_smd_cap:c_0805,GRM21BR71A106KE51L,81-GRM21BR71A106KE51
U2,dmmt5401,w_smd_trans:sot23-6,DMMT5401-7-F,621-DMMT5401-7-F
R2,47k,w_smd_resistors:r_0402,CRCW040247K0FKED,71-CRCW0402-47K-E3
R1,10k,w_smd_resistors:r_0402,ERJ-2GEJ103X,667-ERJ-2GEJ103X
Q1,DMG2305UX,w_smd_trans:sot23,DMG2305UX-7,621-DMG2305UX-7
U1,AP7115,w_smd_trans:sot323-5,AP7115-25SEG-7,621-AP7115-25SEG-7
C1,1uf/6V,w_smd_resistors:r_0402,GRM155R70J105KA12J,81-GRM155R70J105KA2J
C2,100nf/50V,w_smd_resistors:r_0402,GRM155R71H104KE14J,81-GRM155R71H104KE4J
C3,4.7uf6.3V,w_smd_cap:c_0402,04026D475KAT2A,581-04026D475KAT2A
P2,Industrial Power Screw Terminal,project_foot:796644-2,571-796644-2,571-796644-2
P1,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,-,-
C20,47uf/10V,w_smd_cap:c_1210,C1210C476M8PACTU,80-C1210C476M8P
R13,0R,w_smd_resistors:r_0402,CRCW04020000Z0ED,71-CRCW0402-0-E3
C9,10uf/10V,w_smd_cap:c_0805,GRM21BR71A106KE51L,81-GRM21BR71A106KE51
R6,0R,w_smd_resistors:r_0402,CRCW04020000Z0ED,71-CRCW0402-0-E3
C13,10uf/10V,w_smd_cap:c_0805,GRM21BR71A106KE51L,81-GRM21BR71A106KE51
C14,10uf/10V,w_smd_cap:c_0805,GRM21BR71A106KE51L,81-GRM21BR71A106KE51
L1,4.7uH/2A/107mR,Inductors:Inductor_Taiyo-Yuden_MD-4040,MDWK4040T4R7MM,963-MDWK4040T4R7MM
C21,47uf/10V,w_smd_cap:c_1210,C1210C476M8PACTU,80-C1210C476M8P
C22,47uf/10V,w_smd_cap:c_1210,C1210C476M8PACTU,80-C1210C476M8P
P3,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,-,-
P4,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,-,-
P5,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,-,-
P6,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,-,-
P7,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,-,-
D9,SMBJ5.0A,w_smd_diode:do214aa,SMBJ5.0A,576-SMBJ5.0A
